"","round.evcent.net..vector..5."
"O’Donnell K",0.73984
"Kistler HC",0.74201
"Tacke BK",0.0494
"Casper HH",0.0494
"Ward TJ",1
"Geiser DM",0.31649
"Aoki T",0.48671
"Gale LR",0.43642
"Balmas V",0.07028
"Ramirez ML",0.03753
"Reynoso MM",0.03837
"Farnochi MC",0.00576
"Torres AM",0.01083
"Leslie JF",0.00576
"Chulze SN",0.0862
"Starkey DE",0.22653
"Suga H",0.13615
"Tóth B",0.13615
"Varga J",0.13615
"O’Donnell k",0.08573
"Aberra D",0.08573
"Orwig N",0.08573
"Kimura M",0.08573
"Bjørnstad Å",0.08573
"Klemsdal SS",0.08573
"H. Suga",0.05986
"Karugia GW",0.05986
"Tomimura K",0.05986
"Nakajima T",0.05986
"Miyasaka A",0.05986
"Koizumi S",0.05986
"Kageyama K",0.05986
"Hyakumachi M",0.05986
"Clear RM",0.24615
"Rooney AP",0.09746
"Gaba D",0.09746
"Patrick S",0.09746
"Gilbert J",0.19966
"Nowicki TW",0.09746
"Scoz LB",0.01353
"Astolfi P",0.06508
"Reartes DS",0.01353
"Schmale III DG",0.01353
"Moraes MG",0.01353
"Del Ponte EM",0.31368
"Yli-Mattila T",0.09896
"Gagkaeva T",0.09896
"von der Ohe C",0.04
"Gauthier V",0.04
"Tamburic-Ilincic L",0.04
"Brule-Babel A",0.04
"Fernando WGD",0.04
"Clear R",0.04
"Miedaner T",0.04
"Santos J dos",0.06163
"Schneider L",0.0318
"Gomes LB",0.16718
"Silva CN",0.1811
"Tessmann DJ",0.19723
"Boutigny A-L",0.10054
"Van Coller GJ",0.06573
"Flett B",0.06573
"Lamprecht SC",0.06573
"Viljoen A",0.06573
"Harrison SA",0.10064
"Milus EA",0.10064
"Gale SW",0.10064
"Sampietro DA",0.03846
"Díaz CG",0.03846
"Gonzalez V",0.03846
"Vattuone MA",0.03846
"Ploper LD",0.03846
"Catalan CAN",0.03846
"Sarver BAJ",0.12406
"Broz K",0.19245
"Nicholson P",0.12406
"Carter J",0.12406
"Alves TCA",0.02381
"Barros G",0.00607
"Zanon MSA",0.00607
"Abod A",0.00607
"Oviedo MS",0.00607
"Torres A",0.00794
"Zhang H",0.00634
"Van der Lee T",0.00306
"Waalwijk C",0.05852
"Chen W",0.00306
"Xu J",0.00878
"Zhang Y",0.00306
"Feng J",0.00634
"Pan D",0.01332
"Calero N",0.0027
"Mionetto A",0.0027
"Bettucci L",0.0027
"Stumpf R",0.03175
"Ferreira FD",0.03175
"Machinski Junior M",0.03175
"Umpiérrez-Failache M",0.03704
"Garmendia G",0.03704
"Pereyra S",0.03704
"Rodríguez-Haralambides A",0.03704
"Vero S",0.03704
"Ballois N",0.03795
"Iancu G",0.03795
"Ioos R",0.03795
"Castañares E",0.01225
"Albuquerque DR",0.00127
"Dinolfo MI",0.01225
"Pinto VF",0.00127
"Patriarca A",0.00127
"Stenglein SA",0.01225
"Liang JM",0.07441
"Xayamongkhon H",0.07441
"Dong Y",0.07441
"McCormick SP",0.07441
"Abramova S",0.07441
"Ma ZH",0.07441
"Somma S",0
"Petruzzella AL",0
"Logrieco AF",0
"Meca G",0
"Cacciola OS",0
"Moretti A",0
"Bec S",0.06444
"Farman M",0.06444
"Hershman D",0.06444
"Van Sanford D",0.06444
"Vaillancourt LJ",0.06444
"Spolti P",0.13044
"Nicolli CP",0.16834
"Kuhnem PR",0.13044
"Badiale-Furlong E",0.04777
"Kelly AC",0.10844
"McCormick S",0.10844
"Turkington TK",0.10844
"Tekauz A",0.10844
"Busman M",0.10844
"Machado FJ",0.1041
"Möller PA",0.1041
"Kelly A",0.05564
"Proctor RH",0.05564
"Belzile F",0.05564
"Cowger C",0.05564
"Elmer W",0.05564
"Lee T",0.05564
"Obanor F",0.05564
"Ciliato ML",0.063
"Brankovics B",0.00348
"Luo W",0.00348
"Xu JS",0.00348
"Guo C",0.00348
"Guo JG",0.00348
"Jin SL",0.00348
"Chen WQ",0.00348
"Van Diepeningen AD",0.00348
"Van der Lee TAJ",0.00348
"Arruda R",0.05453
"Yerkovich N",0.00297
"Palazzini JM",0.00297
"Sulyok M",0.00297
